cluster_alias,number_of_cells,label
243,149,CS202210140_737
244,116,CS202210140_738
245,244,CS202210140_739
246,140,CS202210140_740
247,314,CS202210140_741
248,358,CS202210140_742
249,164,CS202210140_743
250,412,CS202210140_744
251,123,CS202210140_745
252,261,CS202210140_746
253,228,CS202210140_747
254,203,CS202210140_748
255,234,CS202210140_749
256,322,CS202210140_750
257,1854,CS202210140_751
258,315,CS202210140_752
259,702,CS202210140_753
260,628,CS202210140_754
261,751,CS202210140_755
262,209,CS202210140_756
263,704,CS202210140_757
264,308,CS202210140_758
265,347,CS202210140_759
266,1287,CS202210140_760
267,604,CS202210140_761
268,1206,CS202210140_762
269,1454,CS202210140_763
270,1751,CS202210140_764
271,1246,CS202210140_765
272,2576,CS202210140_766
273,2252,CS202210140_767
274,1034,CS202210140_768
275,2024,CS202210140_769
276,767,CS202210140_770
277,533,CS202210140_771
278,1178,CS202210140_772
279,1752,CS202210140_773
280,7035,CS202210140_774
281,2570,CS202210140_775
282,1300,CS202210140_776
283,1007,CS202210140_777
284,2320,CS202210140_778
285,328,CS202210140_779
286,151,CS202210140_780
287,176,CS202210140_781
288,140,CS202210140_782
289,194,CS202210140_783
290,134,CS202210140_784
291,81,CS202210140_785
292,296,CS202210140_786
293,476,CS202210140_787
294,235,CS202210140_788
295,77,CS202210140_789
296,199,CS202210140_790
297,114,CS202210140_791
298,308,CS202210140_792
299,1001,CS202210140_793
300,103,CS202210140_794
301,2693,CS202210140_795
302,1351,CS202210140_796
303,2227,CS202210140_797
304,1762,CS202210140_798
305,3290,CS202210140_799
306,1836,CS202210140_800
307,2864,CS202210140_801
308,982,CS202210140_802
309,2432,CS202210140_803
310,3465,CS202210140_804
311,1750,CS202210140_805
312,1591,CS202210140_806
313,1621,CS202210140_807
314,1910,CS202210140_808
315,748,CS202210140_809
316,613,CS202210140_810
317,721,CS202210140_811
318,1044,CS202210140_812
319,614,CS202210140_813
320,700,CS202210140_814
321,572,CS202210140_815
322,1451,CS202210140_816
323,778,CS202210140_817
324,192,CS202210140_818
325,479,CS202210140_819
326,656,CS202210140_820
327,319,CS202210140_821
328,390,CS202210140_822
329,543,CS202210140_823
330,366,CS202210140_824
331,256,CS202210140_825
332,415,CS202210140_826
333,704,CS202210140_827
334,415,CS202210140_828
335,1098,CS202210140_829
336,831,CS202210140_830
337,1670,CS202210140_831
338,2065,CS202210140_832
339,1465,CS202210140_833
340,1605,CS202210140_834
341,3883,CS202210140_835
342,1794,CS202210140_836
343,1099,CS202210140_837
344,1938,CS202210140_838
345,318,CS202210140_839
346,427,CS202210140_840
347,1045,CS202210140_841
348,558,CS202210140_842
349,495,CS202210140_843
350,644,CS202210140_844
351,721,CS202210140_845
352,610,CS202210140_846
353,682,CS202210140_847
354,681,CS202210140_848
355,1109,CS202210140_849
356,1014,CS202210140_850
357,1235,CS202210140_851
358,1076,CS202210140_852
359,2090,CS202210140_853
360,409,CS202210140_854
361,749,CS202210140_855
362,2742,CS202210140_856
363,1191,CS202210140_857
364,435,CS202210140_858
365,27,CS202210140_859
366,572,CS202210140_860
367,956,CS202210140_861
368,701,CS202210140_862
369,414,CS202210140_863
370,536,CS202210140_864
371,135,CS202210140_865
372,1246,CS202210140_866
373,411,CS202210140_867
374,4056,CS202210140_868
375,1073,CS202210140_869
376,1215,CS202210140_870
377,325,CS202210140_871
378,474,CS202210140_872
379,1477,CS202210140_873
380,463,CS202210140_874
381,379,CS202210140_875
382,603,CS202210140_876
383,1708,CS202210140_877
384,412,CS202210140_878
385,1005,CS202210140_879
386,537,CS202210140_880
387,378,CS202210140_881
388,381,CS202210140_882
389,210,CS202210140_883
390,515,CS202210140_884
391,583,CS202210140_885
392,500,CS202210140_886
393,1777,CS202210140_887
394,1419,CS202210140_888
395,319,CS202210140_889
396,525,CS202210140_890
397,306,CS202210140_891
398,1383,CS202210140_892
399,1394,CS202210140_893
400,1078,CS202210140_894
401,2325,CS202210140_895
402,1089,CS202210140_896
403,1525,CS202210140_897
404,2294,CS202210140_898
405,1325,CS202210140_899
406,791,CS202210140_900
407,1060,CS202210140_901
408,6943,CS202210140_902
409,2450,CS202210140_903
410,1278,CS202210140_904
411,2861,CS202210140_905
412,2322,CS202210140_906
413,4276,CS202210140_907
414,1750,CS202210140_908
415,2574,CS202210140_909
416,1969,CS202210140_910
417,2096,CS202210140_911
418,2847,CS202210140_912
419,1262,CS202210140_913
420,544,CS202210140_914
421,1992,CS202210140_915
422,757,CS202210140_916
423,931,CS202210140_917
424,5656,CS202210140_918
425,1027,CS202210140_919
426,5390,CS202210140_920
427,2563,CS202210140_921
428,2139,CS202210140_922
429,14210,CS202210140_923
430,4232,CS202210140_924
431,3529,CS202210140_925
432,1163,CS202210140_926
433,11498,CS202210140_927
434,2315,CS202210140_928
435,66,CS202210140_929
436,234,CS202210140_930
437,3745,CS202210140_931
438,2410,CS202210140_932
439,57,CS202210140_933
440,3179,CS202210140_934
441,518,CS202210140_935
442,997,CS202210140_936
443,829,CS202210140_937
444,698,CS202210140_938
445,1960,CS202210140_939
446,735,CS202210140_940
447,2509,CS202210140_941
448,1286,CS202210140_942
449,433,CS202210140_943
450,4654,CS202210140_944
451,182,CS202210140_945
452,466,CS202210140_946
453,399,CS202210140_947
454,337,CS202210140_948
455,346,CS202210140_949
456,444,CS202210140_950
457,593,CS202210140_951
458,123,CS202210140_952
459,838,CS202210140_953
460,1082,CS202210140_954
461,670,CS202210140_955
462,1811,CS202210140_956
463,699,CS202210140_957
464,625,CS202210140_958
465,652,CS202210140_959
466,210,CS202210140_960
467,435,CS202210140_961
468,130,CS202210140_962
469,972,CS202210140_963
470,536,CS202210140_964
471,209,CS202210140_965
472,137,CS202210140_966
473,117,CS202210140_967
474,197,CS202210140_968
475,46,CS202210140_969
476,193,CS202210140_970
477,167,CS202210140_971
478,161,CS202210140_972
479,77,CS202210140_973
480,200,CS202210140_974
481,329,CS202210140_975
482,126,CS202210140_976
483,1693,CS202210140_977
484,768,CS202210140_978
485,1396,CS202210140_979
486,1118,CS202210140_980
487,1460,CS202210140_981
488,1060,CS202210140_982
489,717,CS202210140_983
490,1312,CS202210140_984
491,16,CS202210140_985
492,541,CS202210140_986
493,492,CS202210140_987
494,771,CS202210140_988
495,843,CS202210140_989
496,760,CS202210140_990
497,310,CS202210140_991
498,806,CS202210140_992
499,523,CS202210140_993
500,620,CS202210140_994
501,1370,CS202210140_995
502,1481,CS202210140_996
503,1375,CS202210140_997
504,1447,CS202210140_998
505,3344,CS202210140_999
506,1616,CS202210140_1000
507,1725,CS202210140_1001
508,2075,CS202210140_1002
509,1640,CS202210140_1003
510,1493,CS202210140_1004
511,861,CS202210140_1005
512,1002,CS202210140_1006
513,957,CS202210140_1007
514,4095,CS202210140_1008
515,2165,CS202210140_1009
516,2407,CS202210140_1010
517,2630,CS202210140_1011
518,1744,CS202210140_1012
519,3300,CS202210140_1013
520,1973,CS202210140_1014
521,776,CS202210140_1015
522,1161,CS202210140_1016
523,1806,CS202210140_1017
524,1017,CS202210140_1018
525,1260,CS202210140_1019
526,2027,CS202210140_1020
527,1782,CS202210140_1021
528,2007,CS202210140_1022
529,2286,CS202210140_1023
530,220,CS202210140_1024
531,2719,CS202210140_1025
532,819,CS202210140_1026
533,1769,CS202210140_1027
534,3440,CS202210140_1028
535,1940,CS202210140_1029
536,3386,CS202210140_1030
537,932,CS202210140_1031
538,2248,CS202210140_1032
539,817,CS202210140_1033
540,1502,CS202210140_1034
541,2710,CS202210140_1035
542,1811,CS202210140_1036
543,1791,CS202210140_1037
544,890,CS202210140_1038
545,428,CS202210140_1039
546,1042,CS202210140_1040
547,512,CS202210140_1041
548,903,CS202210140_1042
549,460,CS202210140_1043
550,813,CS202210140_1044
551,1097,CS202210140_1045
552,1194,CS202210140_1046
553,1500,CS202210140_1047
554,324,CS202210140_1048
555,836,CS202210140_1049
556,1525,CS202210140_1050
557,2953,CS202210140_1051
558,1546,CS202210140_1052
559,946,CS202210140_1053
560,556,CS202210140_1054
561,5984,CS202210140_1055
562,1604,CS202210140_1056
563,160,CS202210140_1057
564,221,CS202210140_1058
565,1017,CS202210140_1059
566,2043,CS202210140_1060
567,1729,CS202210140_1061
568,1529,CS202210140_1062
569,1892,CS202210140_1063
570,561,CS202210140_1064
571,913,CS202210140_1065
572,1091,CS202210140_1066
573,2212,CS202210140_1067
574,1807,CS202210140_1068
575,1318,CS202210140_1069
576,1895,CS202210140_1070
577,777,CS202210140_1071
578,1674,CS202210140_1072
579,1665,CS202210140_1073
580,342,CS202210140_1074
581,617,CS202210140_1075
582,801,CS202210140_1076
583,489,CS202210140_1077
584,523,CS202210140_1078
585,1001,CS202210140_1079
586,797,CS202210140_1080
587,536,CS202210140_1081
588,170,CS202210140_1082
589,271,CS202210140_1083
590,508,CS202210140_1084
591,573,CS202210140_1085
592,451,CS202210140_1086
593,431,CS202210140_1087
594,363,CS202210140_1088
595,607,CS202210140_1089
596,239,CS202210140_1090
597,39,CS202210140_1091
598,130,CS202210140_1092
599,368,CS202210140_1093
600,72,CS202210140_1094
601,570,CS202210140_1095
602,470,CS202210140_1096
603,525,CS202210140_1097
604,675,CS202210140_1098
605,134,CS202210140_1099
606,157,CS202210140_1100
607,308,CS202210140_1101
608,574,CS202210140_1102
609,623,CS202210140_1103
610,247,CS202210140_1104
611,413,CS202210140_1105
612,660,CS202210140_1106
613,578,CS202210140_1107
614,873,CS202210140_1108
615,621,CS202210140_1109
616,1066,CS202210140_1110
617,215,CS202210140_1111
618,104,CS202210140_1112
619,887,CS202210140_1113
620,818,CS202210140_1114
621,524,CS202210140_1115
622,129,CS202210140_1116
623,34,CS202210140_1117
624,213,CS202210140_1118
625,171,CS202210140_1119
626,312,CS202210140_1120
627,78,CS202210140_1121
628,146,CS202210140_1122
629,167,CS202210140_1123
630,98,CS202210140_1124
631,163,CS202210140_1125
632,323,CS202210140_1126
633,196,CS202210140_1127
634,280,CS202210140_1128
635,264,CS202210140_1129
636,441,CS202210140_1130
637,137,CS202210140_1131
638,250,CS202210140_1132
639,996,CS202210140_1133
640,2880,CS202210140_1134
641,820,CS202210140_1135
642,1244,CS202210140_1136
643,911,CS202210140_1137
644,76,CS202210140_1138
645,9,CS202210140_1139
646,165,CS202210140_1140
647,177,CS202210140_1141
648,201,CS202210140_1142
649,196,CS202210140_1143
650,145,CS202210140_1144
651,103,CS202210140_1145
652,364,CS202210140_1146
653,1041,CS202210140_1147
654,7692,CS202210140_1148
655,3529,CS202210140_1149
656,1533,CS202210140_1150
657,2406,CS202210140_1151
658,1786,CS202210140_1152
659,483,CS202210140_1153
660,512,CS202210140_1154
661,839,CS202210140_1155
662,2253,CS202210140_1156
663,1082,CS202210140_1157
664,2981,CS202210140_1158
665,542,CS202210140_1159
666,207,CS202210140_1160
667,403,CS202210140_1161
668,1643,CS202210140_1162
669,1086,CS202210140_1163
670,3159,CS202210140_1164
671,764,CS202210140_1165
672,1414,CS202210140_1166
673,1019,CS202210140_1167
674,1752,CS202210140_1168
675,2021,CS202210140_1169
676,1980,CS202210140_1170
677,1502,CS202210140_1171
678,885,CS202210140_1172
679,1610,CS202210140_1173
680,1178,CS202210140_1174
681,998,CS202210140_1175
682,1367,CS202210140_1176
683,146,CS202210140_1177
684,814,CS202210140_1178
685,933,CS202210140_1179
686,675,CS202210140_1180
687,1333,CS202210140_1181
688,782,CS202210140_1182
689,2534,CS202210140_1183
690,957,CS202210140_1184
691,8081,CS202210140_1185
692,2684,CS202210140_1186
693,2374,CS202210140_1187
694,1351,CS202210140_1188
695,8255,CS202210140_1189
696,5286,CS202210140_1190
697,3657,CS202210140_1191
698,1725,CS202210140_1192
699,4008,CS202210140_1193
700,1116,CS202210140_1194
701,6835,CS202210140_1195
702,9158,CS202210140_1196
703,3113,CS202210140_1197
704,2143,CS202210140_1198
705,3170,CS202210140_1199
706,821,CS202210140_1200
707,1782,CS202210140_1201
708,1563,CS202210140_1202
709,468,CS202210140_1203
710,7,CS202210140_1204
711,119,CS202210140_1205
712,205,CS202210140_1206
713,59,CS202210140_1207
714,59,CS202210140_1208
715,4,CS202210140_1209
716,19,CS202210140_1210
717,20,CS202210140_1211
718,2,CS202210140_1212
719,35,CS202210140_1213
720,1178,CS202210140_1214
721,336,CS202210140_1215
722,308,CS202210140_1216
723,335,CS202210140_1217
724,383,CS202210140_1218
725,212,CS202210140_1219
726,122,CS202210140_1220
727,73,CS202210140_1221
728,137,CS202210140_1222
729,107,CS202210140_1223
730,100,CS202210140_1224
731,173,CS202210140_1225
732,82,CS202210140_1226
733,115,CS202210140_1227
734,104,CS202210140_1228
735,98,CS202210140_1229
736,86,CS202210140_1230
737,95,CS202210140_1231
738,104,CS202210140_1232
739,173,CS202210140_1233
740,47,CS202210140_1234
741,70,CS202210140_1235
742,115,CS202210140_1236
743,69,CS202210140_1237
744,235,CS202210140_1238
745,167,CS202210140_1239
746,591,CS202210140_1240
747,59,CS202210140_1241
748,152,CS202210140_1242
749,56,CS202210140_1243
750,96,CS202210140_1244
751,123,CS202210140_1245
752,73,CS202210140_1246
753,64,CS202210140_1247
754,266,CS202210140_1248
755,288,CS202210140_1249
756,250,CS202210140_1250
757,215,CS202210140_1251
758,179,CS202210140_1252
759,149,CS202210140_1253
760,313,CS202210140_1254
761,196,CS202210140_1255
762,256,CS202210140_1256
763,73,CS202210140_1257
764,64,CS202210140_1258
765,51,CS202210140_1259
766,75,CS202210140_1260
767,25,CS202210140_1261
768,111,CS202210140_1262
769,482,CS202210140_1263
770,196,CS202210140_1264
771,191,CS202210140_1265
772,111,CS202210140_1266
773,246,CS202210140_1267
774,79,CS202210140_1268
775,253,CS202210140_1269
776,193,CS202210140_1270
777,353,CS202210140_1271
778,42,CS202210140_1272
779,74,CS202210140_1273
780,230,CS202210140_1274
781,62,CS202210140_1275
782,96,CS202210140_1276
783,219,CS202210140_1277
784,48,CS202210140_1278
785,238,CS202210140_1279
786,350,CS202210140_1280
787,583,CS202210140_1281
788,147,CS202210140_1282
789,204,CS202210140_1283
790,235,CS202210140_1284
791,144,CS202210140_1285
792,565,CS202210140_1286
793,171,CS202210140_1287
794,462,CS202210140_1288
795,1457,CS202210140_1289
796,2191,CS202210140_1290
797,2359,CS202210140_1291
798,5770,CS202210140_1292
799,1972,CS202210140_1293
800,415,CS202210140_1294
801,5558,CS202210140_1295
802,10326,CS202210140_1296
803,5454,CS202210140_1297
804,1603,CS202210140_1298
805,6396,CS202210140_1299
806,209,CS202210140_1300
807,2978,CS202210140_1301
808,828,CS202210140_1302
809,1052,CS202210140_1303
810,182,CS202210140_1304
811,30,CS202210140_1305
812,188,CS202210140_1306
813,450,CS202210140_1307
814,84,CS202210140_1308
815,313,CS202210140_1309
816,204,CS202210140_1310
817,231,CS202210140_1311
818,133,CS202210140_1312
819,121,CS202210140_1313
820,197,CS202210140_1314
821,154,CS202210140_1315
822,397,CS202210140_1316
823,66,CS202210140_1317
824,93,CS202210140_1318
825,267,CS202210140_1319
826,389,CS202210140_1320
827,89,CS202210140_1321
828,192,CS202210140_1322
829,233,CS202210140_1323
830,234,CS202210140_1324
831,102,CS202210140_1325
832,452,CS202210140_1326
833,219,CS202210140_1327
834,84,CS202210140_1328
835,194,CS202210140_1329
836,105,CS202210140_1330
837,86,CS202210140_1331
838,68,CS202210140_1332
839,139,CS202210140_1333
840,150,CS202210140_1334
841,102,CS202210140_1335
842,97,CS202210140_1336
843,604,CS202210140_1337
844,367,CS202210140_1338
845,24,CS202210140_1339
846,158,CS202210140_1340
847,110,CS202210140_1341
848,190,CS202210140_1342
849,180,CS202210140_1343
850,87,CS202210140_1344
851,177,CS202210140_1345
852,251,CS202210140_1346
853,67,CS202210140_1347
854,76,CS202210140_1348
855,51,CS202210140_1349
856,1337,CS202210140_1350
857,398,CS202210140_1351
858,262,CS202210140_1352
859,895,CS202210140_1353
860,577,CS202210140_1354
861,439,CS202210140_1355
862,447,CS202210140_1356
863,285,CS202210140_1357
864,138,CS202210140_1358
865,155,CS202210140_1359
866,276,CS202210140_1360
867,172,CS202210140_1361
868,213,CS202210140_1362
869,329,CS202210140_1363
870,22,CS202210140_1364
871,105,CS202210140_1365
872,122,CS202210140_1366
873,160,CS202210140_1367
874,138,CS202210140_1368
875,68,CS202210140_1369
876,58,CS202210140_1370
877,76,CS202210140_1371
878,57,CS202210140_1372
879,100,CS202210140_1373
880,119,CS202210140_1374
881,138,CS202210140_1375
882,45,CS202210140_1376
883,150,CS202210140_1377
884,78,CS202210140_1378
885,36,CS202210140_1379
886,156,CS202210140_1380
887,94,CS202210140_1381
888,75,CS202210140_1382
889,46,CS202210140_1383
890,36,CS202210140_1384
891,140,CS202210140_1385
892,191,CS202210140_1386
893,153,CS202210140_1387
894,54,CS202210140_1388
895,248,CS202210140_1389
896,268,CS202210140_1390
897,340,CS202210140_1391
898,209,CS202210140_1392
899,179,CS202210140_1393
900,152,CS202210140_1394
901,430,CS202210140_1395
902,136,CS202210140_1396
903,114,CS202210140_1397
904,117,CS202210140_1398
905,277,CS202210140_1399
906,352,CS202210140_1400
907,72,CS202210140_1401
908,169,CS202210140_1402
909,133,CS202210140_1403
910,149,CS202210140_1404
911,107,CS202210140_1405
912,114,CS202210140_1406
913,292,CS202210140_1407
914,123,CS202210140_1408
915,254,CS202210140_1409
916,108,CS202210140_1410
917,125,CS202210140_1411
918,74,CS202210140_1412
919,152,CS202210140_1413
920,29,CS202210140_1414
921,181,CS202210140_1415
922,186,CS202210140_1416
923,159,CS202210140_1417
924,70,CS202210140_1418
925,126,CS202210140_1419
926,98,CS202210140_1420
927,139,CS202210140_1421
928,137,CS202210140_1422
929,48,CS202210140_1423
930,45,CS202210140_1424
931,75,CS202210140_1425
932,35,CS202210140_1426
933,30,CS202210140_1427
934,64,CS202210140_1428
935,38,CS202210140_1429
936,152,CS202210140_1430
937,395,CS202210140_1431
938,251,CS202210140_1432
939,33,CS202210140_1433
940,53,CS202210140_1434
941,216,CS202210140_1435
942,267,CS202210140_1436
943,174,CS202210140_1437
944,132,CS202210140_1438
945,51,CS202210140_1439
946,191,CS202210140_1440
947,168,CS202210140_1441
948,261,CS202210140_1442
949,61,CS202210140_1443
950,59,CS202210140_1444
951,169,CS202210140_1445
952,166,CS202210140_1446
953,731,CS202210140_1447
954,405,CS202210140_1448
955,209,CS202210140_1449
956,201,CS202210140_1450
957,179,CS202210140_1451
958,337,CS202210140_1452
959,255,CS202210140_1453
960,166,CS202210140_1454
961,119,CS202210140_1455
962,49,CS202210140_1456
963,82,CS202210140_1457
964,106,CS202210140_1458
965,36,CS202210140_1459
966,86,CS202210140_1460
967,178,CS202210140_1461
968,131,CS202210140_1462
969,80,CS202210140_1463
970,152,CS202210140_1464
971,130,CS202210140_1465
972,36,CS202210140_1466
973,60,CS202210140_1467
974,35,CS202210140_1468
975,49,CS202210140_1469
976,36,CS202210140_1470
977,40,CS202210140_1471
978,72,CS202210140_1472
979,122,CS202210140_1473
980,122,CS202210140_1474
981,171,CS202210140_1475
982,197,CS202210140_1476
983,159,CS202210140_1477
984,194,CS202210140_1478
985,150,CS202210140_1479
986,307,CS202210140_1480
987,137,CS202210140_1481
988,102,CS202210140_1482
989,63,CS202210140_1483
990,60,CS202210140_1484
991,300,CS202210140_1485
992,129,CS202210140_1486
993,185,CS202210140_1487
994,388,CS202210140_1488
995,108,CS202210140_1489
996,346,CS202210140_1490
997,67,CS202210140_1491
998,378,CS202210140_1492
999,87,CS202210140_1493
1000,153,CS202210140_1494
1001,211,CS202210140_1495
1002,198,CS202210140_1496
1003,186,CS202210140_1497
1004,295,CS202210140_1498
1005,317,CS202210140_1499
1006,506,CS202210140_1500
1007,152,CS202210140_1501
1008,379,CS202210140_1502
1009,112,CS202210140_1503
1010,318,CS202210140_1504
1011,194,CS202210140_1505
1012,165,CS202210140_1506
1013,126,CS202210140_1507
1014,53,CS202210140_1508
1015,148,CS202210140_1509
1016,220,CS202210140_1510
1017,178,CS202210140_1511
1018,249,CS202210140_1512
1019,604,CS202210140_1513
1020,306,CS202210140_1514
1021,152,CS202210140_1515
1022,121,CS202210140_1516
1023,163,CS202210140_1517
1024,197,CS202210140_1518
1025,193,CS202210140_1519
1026,305,CS202210140_1520
1027,79,CS202210140_1521
1028,235,CS202210140_1522
1029,109,CS202210140_1523
1030,249,CS202210140_1524
1031,143,CS202210140_1525
1032,272,CS202210140_1526
1033,354,CS202210140_1527
1034,29,CS202210140_1528
1035,206,CS202210140_1529
1036,85,CS202210140_1530
1037,141,CS202210140_1531
1038,78,CS202210140_1532
1039,185,CS202210140_1533
1040,190,CS202210140_1534
1041,347,CS202210140_1535
1042,162,CS202210140_1536
1043,134,CS202210140_1537
1044,321,CS202210140_1538
1045,192,CS202210140_1539
1046,109,CS202210140_1540
1047,238,CS202210140_1541
1048,275,CS202210140_1542
1049,51,CS202210140_1543
1050,134,CS202210140_1544
1051,69,CS202210140_1545
1052,87,CS202210140_1546
1053,89,CS202210140_1547
1054,378,CS202210140_1548
1055,412,CS202210140_1549
1056,437,CS202210140_1550
1057,94,CS202210140_1551
1058,126,CS202210140_1552
1059,29,CS202210140_1553
1060,735,CS202210140_1554
1061,449,CS202210140_1555
1062,942,CS202210140_1556
1063,430,CS202210140_1557
1064,750,CS202210140_1558
1065,281,CS202210140_1559
1066,659,CS202210140_1560
1067,685,CS202210140_1561
1068,523,CS202210140_1562
1069,357,CS202210140_1563
1070,101,CS202210140_1564
1071,237,CS202210140_1565
1072,85,CS202210140_1566
1073,172,CS202210140_1567
1074,271,CS202210140_1568
1075,67,CS202210140_1569
1076,148,CS202210140_1570
1077,317,CS202210140_1571
1078,191,CS202210140_1572
1079,93,CS202210140_1573
1080,142,CS202210140_1574
1081,250,CS202210140_1575
1082,128,CS202210140_1576
1083,148,CS202210140_1577
