Cluster ID	Cluster name	Transferred MTG Label
130	ULIT_130	L2/3 IT
131	ULIT_131	L2/3 IT
133	ULIT_133	N/A
134	ULIT_134	L2/3 IT
135	ULIT_135	N/A
138	ULIT_138	L4 IT
13	VendPLVAP_13	N/A
14	VendAC_14	Endo
15	VendC_15	Endo
16	VendVC_16	Endo
17	VendV_17	Endo
18	VendA_18	N/A
19	Vsmc_19	N/A
20	Vsmc_20	N/A
21	Per_21	VLMC
22	Per_22	VLMC
23	Per_23	VLMC
		N/A
